ROM file,Host file,Iby file,Package,In/Out,Who,Why
Private\10003a3f\apps\vcommand_reg.rsc,/epoc32/data/z/private/10003a3f/apps/vcommand_reg.rsc,core/app/vcommand.iby,app/speechsrv,,,
Private\10003a3f\apps\vcommandmanager_reg.rsc,/epoc32/data/z/private/10003a3f/apps/vcommandmanager_reg.rsc,core/app/srsf.iby,app/speechsrv,,,
Private\10003a3f\import\apps\VideoServices_reg.rsc,/epoc32/data/z/private/10003a3f/apps/videoservices_reg.rsc,core/app/VideoServices.iby,app/webuis,,,
private\10003a3f\import\apps\videotelui_reg.rsc,/epoc32/data/z/private/10003a3f/apps/videotelui_reg.rsc,core/app/videotelui.iby,app/videotelephony,,,
private\10003a3f\import\apps\vm_reg.rsc,/epoc32/data/z/private/10003a3f/apps/vm_reg.rsc,core/app/vmbx.iby,app/phone,,,
Private\10003a3f\import\apps\Voicerecorder_reg.rsc,/epoc32/data/z/private/10003a3f/apps/voicerecorder_reg.rsc,core/app/Voicerecorder.iby,app/voicerec,,,
Private\10003a3f\import\apps\voipprovisioningapp_reg.rsc,/epoc32/data/z/private/10003a3f/apps/voipprovisioningapp_reg.rsc,core/app/voipxmlprovisioning.iby,app/iptelephony,,,
Private\10003a3f\apps\vuivoicerecognition_reg.rsc,/epoc32/data/z/private/10003a3f/apps/vuivoicerecognition_reg.rsc,core/app/voiceui.iby,app/speechsrv,,,
Private\10003a3f\import\apps\WidgetUi_reg.rsc,/epoc32/data/z/private/10003a3f/apps/widgetui_reg.rsc,core/mw/Widgets.iby,mw/web,,,
Private\10003a3f\apps\wlansniffer_reg.rsc,/epoc32/data/z/private/10003a3f/apps/wlansniffer_reg.rsc,core/mw/wsfmainapplication.iby,mw/wirelessacc,,,
private\10003a3f\import\apps\wmdrmdlaapp_reg.rsc,/epoc32/data/z/private/10003a3f/apps/wmdrmdlaapp_reg.rsc,core/mw/wmdrm.iby,mw/drm,,,
Private\10003a3f\apps\wsfaihelper_reg.rsc,/epoc32/data/z/private/10003a3f/apps/wsfaihelper_reg.rsc,core/mw/wsfaihelperapp.iby,mw/wirelessacc,,,
private\10003a3f\backup_registration.xml,/epoc32/data/z/private/10003a3f/backup_registration.xml,apparc.iby,mw/appsupport,,,
